aid,pid
818,539
227,540
819,541
820,541
821,542
822,543
823,543
824,544
825,544
826,545
827,545
828,546
829,546
830,546
831,547
490,547
404,548
832,548
394,548
833,549
834,550
534,550
835,551
836,551
475,552
837,552
558,553
838,554
839,554
840,232
841,232
89,555
842,556
453,557
843,558
844,558
611,559
392,559
845,560
846,560
847,560
848,561
849,562
850,562
851,563
852,563
853,564
854,565
855,565
32,566
856,567
827,568
857,568
20,569
858,570
859,570
717,570
860,570
297,571
861,571
862,572
863,573
864,573
865,573
866,573
867,574
739,575
740,575
868,575
220,576
461,576
869,577
870,578
47,579
53,580
871,580
872,580
873,580
558,581
559,581
874,582
234,583
875,584
876,584
43,585
877,586
343,586
127,586
878,586
879,587
880,588
881,588
882,589
883,589
884,589
885,589
886,589
887,590
888,590
889,591
890,591
891,592
892,593
401,594
893,594
894,595
895,596
896,596
897,597
898,597
899,598
900,598
42,598
901,599
902,599
674,600
465,600
903,600
904,601
682,601
905,602
906,602
625,603
907,604
908,605
909,605
414,605
910,606
911,607
912,607
758,607
89,608
913,609
914,609
573,609
207,610
915,610
569,610
916,611
917,611
918,611
47,612
919,613
920,613
94,613
921,614
922,614
923,615
310,615
13,616
924,617
925,617
926,617
462,617
927,618
928,619
929,619
930,619
931,620
932,621
933,621
934,622
935,623
675,624
936,625
500,626
6,627
140,628
141,628
142,628
56,629
196,630
46,630
937,630
938,631
939,632
940,632
625,633
941,634
110,634
942,635
56,636
96,637
943,637
944,638
945,639
72,640
54,641
55,641
946,642
119,643
947,643
948,644
19,644
361,645
949,645
950,645
951,646
952,647
953,647
954,648
955,648
701,649
956,649
957,649
654,650
958,651
959,651
960,652
961,653
962,653
963,654
964,654
965,655
688,656
966,657
967,658
968,659
969,660
970,660
20,661
971,662
972,663
973,663
974,664
611,665
975,665
976,666
977,666
470,667
978,667
979,668
980,668
863,668
981,668
421,669
982,670
983,670
984,670
985,670
272,670
986,671
987,671
988,672
989,672
2,673
990,674
114,674
991,675
894,676
333,677
992,677
993,677
302,678
292,678
49,679
994,680
995,681
996,681
997,682
998,683
999,683
1000,684
289,689
89,689
46,690
73,690
800,691
322,694
45,696
46,696
602,699
499,701
7,704
618,705
529,707
867,710
174,712
256,715
560,715
89,716
13,718
15,718
343,719
770,721
611,723
862,725
75,727
89,728
90,728
951,729
840,730
46,731
54,732
470,734
507,734
187,736
404,736
897,737
135,742
784,745
826,745
558,746
168,746
847,747
822,749
894,753
526,755
75,756
338,756
45,760
422,760
46,760
58,761
335,761
336,761
35,763
89,764
343,767
708,768
606,769
136,772
858,779
860,779
29,779
553,782
611,783
45,784
46,784
96,785
943,785
917,787
32,789
968,790
514,791
72,792
302,794
333,795
145,797
144,797
135,797
37,800
412,800
283,804
288,804
19,804
945,805
489,806
575,810
366,812
156,813
229,813
154,815
232,816
233,816
69,817
573,819
897,823
156,827
19,828
573,829
675,831
128,832
342,833
77,834
460,837
57,839
13,844
199,844
225,846
226,846
119,847
291,851
200,852
499,853
664,855
682,857
140,858
141,858
743,858
414,859
415,860
712,862
42,862
340,863
292,864
291,864
503,865
919,866
470,868
507,868
553,870
46,875
732,876
602,876
500,879
240,880
134,880
467,881
202,881
748,882
340,883
282,886
800,888
842,889
451,889
239,890
503,893
734,896
93,900
156,901
157,901
758,905
760,905
606,906
854,908
855,908
209,909
12,911
348,912
935,917
974,920
75,923
76,923
783,925
75,926
252,928
557,934
217,937
218,937
415,938
416,938
234,939
134,940
401,944
893,944
615,946
602,947
795,948
161,950
32,952
421,954
722,957
469,959
68,959
470,960
821,961
8,963
9,963
345,965
634,966
201,967
119,968
120,968
240,971
184,977
495,978
197,980
43,981
18,981
225,982
136,983
927,987
104,987
470,989
220,991
360,992
479,994
478,994
836,998
283,999
56,1005
739,1007
654,1009
464,1009
453,1011
134,1012
956,1012
277,1018
884,1020
401,1022
428,1024
713,1024
811,1025
25,1029
495,1031
209,1031
854,1033
855,1033
670,1034
514,1034
225,1037
869,1039
96,1040
280,1041
802,1042
156,1043
975,1043
47,1046
291,1048
788,1051
309,1053
73,1053
19,1054
825,1055
693,1056
696,1056
45,1057
46,1057
201,1060
349,1062
9,1063
664,1066
84,1067
254,1069
343,1070
128,1070
836,1071
473,1072
157,1074
921,1076
405,1077
373,1079
283,1079
468,1081
801,1082
469,1082
68,1082
352,1084
353,1084
603,1087
602,1090
453,1092
964,1093
442,1094
322,1094
343,1099
624,1099
722,1104
428,1105
135,1105
46,1105
197,1105
155,1105
14,1108
270,1109
271,1109
758,1110
473,1111
611,1112
436,1114
437,1114
14,1115
139,1115
480,1116
457,1117
425,1118
42,1122
425,1125
177,1126
611,1128
185,1130
440,1131
500,1132
815,1133
459,1135
108,1136
37,1137
